sofifa_id,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,overall,player_positions
153079,S. Agüero,Sergio Leonel Agüero del Castillo,31,1988-06-02,173,70,Argentina,Manchester City,English Premier League,89,ST
155862,Sergio Ramos,Sergio Ramos García,33,1986-03-30,184,82,Spain,Real Madrid,Spain Primera Division,89,CB
176580,L. Suárez,Luis Alberto Suárez Díaz,32,1987-01-24,182,86,Uruguay,FC Barcelona,Spain Primera Division,89,ST
188545,R. Lewandowski,Robert Lewandowski,30,1988-08-21,184,80,Poland,FC Bayern München,German 1. Bundesliga,89,ST
189511,Sergio Busquets,Sergio Busquets i Burgos,30,1988-07-16,189,76,Spain,FC Barcelona,Spain Primera Division,89,"CDM, CM"
194765,A. Griezmann,Antoine Griezmann,28,1991-03-21,176,73,France,FC Barcelona,Spain Primera Division,89,"CF, ST, LW"
211110,P. Dybala,Paulo Bruno Exequiel Dybala,25,1993-11-15,177,75,Argentina,Juventus,Italian Serie A,88,"CAM, RW"
195864,P. Pogba,Paul Pogba,26,1993-03-15,191,84,France,Manchester United,English Premier League,88,"CM, CDM"
210257,Ederson,Ederson Santana de Moraes,25,1993-08-17,188,86,Brazil,Manchester City,English Premier League,88,GK
202652,R. Sterling,Raheem Shaquille Sterling,24,1994-12-08,170,69,England,Manchester City,English Premier League,88,"RW, LW"
190460,C. Eriksen,Christian Dannemann Eriksen,27,1992-02-14,181,76,Denmark,Tottenham Hotspur,English Premier League,88,"CAM, CM"
192119,T. Courtois,Thibaut Courtois,27,1992-05-11,199,96,Belgium,Real Madrid,Spain Primera Division,88,GK
152729,Piqué,Gerard Piqué Bernabéu,32,1987-02-02,194,85,Spain,FC Barcelona,Spain Primera Division,88,CB
162835,S. Handanovič,Samir Handanovič,34,1984-07-14,193,92,Slovenia,Inter,Italian Serie A,88,GK
167495,M. Neuer,Manuel Neuer,33,1986-03-27,193,92,Germany,FC Bayern München,German 1. Bundesliga,88,GK
167948,H. Lloris,Hugo Lloris,32,1986-12-26,188,82,France,Tottenham Hotspur,English Premier League,88,GK
168542,David Silva,David Josué Jiménez Silva,33,1986-01-08,173,67,Spain,Manchester City,English Premier League,88,"CAM, CM"
179813,E. Cavani,Edinson Roberto Cavani Gómez,32,1987-02-14,185,77,Uruguay,Paris Saint-Germain,French Ligue 1,88,ST
182493,D. Godín,Diego Roberto Godín Leal,33,1986-02-16,187,78,Uruguay,Inter,Italian Serie A,88,CB
182521,T. Kroos,Toni Kroos,29,1990-01-04,183,76,Germany,Real Madrid,Spain Primera Division,88,CM
188350,M. Reus,Marco Reus,30,1989-05-31,180,71,Germany,Borussia Dortmund,German 1. Bundesliga,88,"CAM, LM, ST"
188567,P. Aubameyang,Pierre-Emerick Aubameyang,30,1989-06-18,187,80,Gabon,Arsenal,English Premier League,88,"ST, LM"
208722,S. Mané,Sadio Mané,27,1992-04-10,175,69,Senegal,Liverpool,English Premier League,88,"LW, LM"
212218,A. Laporte,Aymeric Laporte,25,1994-05-27,189,85,France,Manchester City,English Premier League,87,"CB, LB"
218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,24,1994-08-10,173,64,Portugal,Manchester City,English Premier League,87,"RW, CAM, CM"
200145,Casemiro,Carlos Henrique Venancio Casimiro,27,1992-02-23,185,84,Brazil,Real Madrid,Spain Primera Division,87,CDM
200104,H. Son,손흥민 孙兴慜,26,1992-07-08,183,78,Korea Republic,Tottenham Hotspur,English Premier League,87,"CF, LM"
135507,Fernandinho,Fernando Luiz Rosa,34,1985-05-04,179,67,Brazil,Manchester City,English Premier League,87,CDM
164240,Thiago Silva,Thiago Emiliano da Silva,34,1984-09-22,183,82,Brazil,Paris Saint-Germain,French Ligue 1,87,CB
165153,K. Benzema,Karim Benzema,31,1987-12-19,185,81,France,Real Madrid,Spain Primera Division,87,"CF, ST"
172871,J. Vertonghen,Jan Bert Lieve Vertonghen,32,1987-04-24,189,86,Belgium,Tottenham Hotspur,English Premier League,87,CB
175943,D. Mertens,Dries Mertens,32,1987-05-06,169,61,Belgium,Napoli,Italian Serie A,87,"CF, ST"
178603,M. Hummels,Mats Hummels,30,1988-12-16,191,94,Germany,Borussia Dortmund,German 1. Bundesliga,87,CB
184087,T. Alderweireld,Toby Alderweireld,30,1989-03-02,186,81,Belgium,Tottenham Hotspur,English Premier League,87,CB
189332,Jordi Alba,Jordi Alba Ramos,30,1989-03-21,170,68,Spain,FC Barcelona,Spain Primera Division,87,LB
189509,Thiago,Thiago Alcântara do Nascimento,28,1991-04-11,174,70,Spain,FC Bayern München,German 1. Bundesliga,87,"CM, CAM, CDM"
193041,K. Navas,Keylor Navas Gamboa,32,1986-12-15,185,80,Costa Rica,Real Madrid,Spain Primera Division,87,GK
198219,L. Insigne,Lorenzo Insigne,28,1991-06-04,163,59,Italy,Napoli,Italian Serie A,87,"CF, LW, ST"
222492,L. Sané,Leroy Sané,23,1996-01-11,183,75,Germany,Manchester City,English Premier League,86,LW
207865,Marquinhos,Marcos Aoás Corrêa,25,1994-05-14,183,75,Brazil,Paris Saint-Germain,French Ligue 1,86,"CB, CDM"
232363,M. Škriniar,Milan Škriniar,24,1995-02-11,187,80,Slovakia,Inter,Italian Serie A,86,CB
199556,M. Verratti,Marco Verratti,26,1992-11-05,165,60,Italy,Paris Saint-Germain,French Ligue 1,86,"CM, CDM"
205600,S. Umtiti,Samuel Yves Umtiti,25,1993-11-14,182,75,France,FC Barcelona,Spain Primera Division,86,CB
186153,W. Szczęsny,Wojciech Szczęsny,29,1990-04-18,195,90,Poland,Juventus,Italian Serie A,86,GK
212622,J. Kimmich,Joshua Kimmich,24,1995-02-08,176,73,Germany,FC Bayern München,German 1. Bundesliga,86,"RB, CM, CDM"
197781,Isco,Francisco Román Alarcón Suárez,27,1992-04-21,176,79,Spain,Real Madrid,Spain Primera Division,86,"CAM, CM, LW"
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,27,1991-10-02,181,76,Brazil,Liverpool,English Premier League,86,"CF, ST, CAM"
168651,I. Rakitić,Ivan Rakitić,31,1988-03-10,184,78,Croatia,FC Barcelona,Spain Primera Division,86,"CM, CDM"
180206,M. Pjanić,Miralem Pjanić,29,1990-04-02,178,72,Bosnia Herzegovina,Juventus,Italian Serie A,86,"CM, CDM"
183898,A. Di María,Ángel Fabián Di María Hernández,31,1988-02-14,180,69,Argentina,Paris Saint-Germain,French Ligue 1,86,"RW, LW"
184344,L. Bonucci,Leonardo Bonucci,32,1987-05-01,190,85,Italy,Juventus,Italian Serie A,86,CB
189242,Coutinho,Philippe Coutinho Correia,27,1992-06-12,172,68,Brazil,FC Bayern München,German 1. Bundesliga,86,"LW, CM"
189513,Parejo,Daniel Parejo Muñoz,30,1989-04-16,182,74,Spain,Valencia CF,Spain Primera Division,86,CM
189596,T. Müller,Thomas Müller,29,1989-09-13,186,75,Germany,FC Bayern München,German 1. Bundesliga,86,"CAM, RM, RW"
192387,C. Immobile,Ciro Immobile,29,1990-02-20,185,85,Italy,Lazio,Italian Serie A,86,ST
193301,A. Lacazette,Alexandre Lacazette,28,1991-05-28,175,73,France,Arsenal,English Premier League,86,ST
235243,M. de Ligt,Matthijs de Ligt,19,1999-08-12,189,89,Netherlands,Juventus,Italian Serie A,85,CB
230621,G. Donnarumma,Gianluigi Donnarumma,20,1999-02-25,196,90,Italy,Milan,Italian Serie A,85,GK
228702,F. de Jong,Frenkie de Jong,22,1997-05-12,180,74,Netherlands,FC Barcelona,Spain Primera Division,85,"CM, CDM"
201535,R. Varane,Raphaël Varane,26,1993-04-25,191,81,France,Real Madrid,Spain Primera Division,85,CB
212190,N. Süle,Niklas Süle,23,1995-09-03,195,97,Germany,FC Bayern München,German 1. Bundesliga,85,CB
223848,S. Milinković-Savić,Sergej Milinković-Savić,24,1995-02-27,191,76,Serbia,Lazio,Italian Serie A,85,"CM, CAM"
231866,Rodri,Rodrigo Hernández Cascante,23,1996-06-22,191,82,Spain,Manchester City,English Premier League,85,"CDM, CM"
208421,Saúl,Saúl Ñíguez Esclápez,24,1994-11-21,184,77,Spain,Atlético Madrid,Spain Primera Division,85,"CM, LM, RM"
209499,Fabinho,Fábio Henrique Tavares,25,1993-10-23,188,78,Brazil,Liverpool,English Premier League,85,CDM
216267,A. Robertson,Andrew Robertson,25,1994-03-11,178,64,Scotland,Liverpool,English Premier League,85,LB
216460,J. Giménez,José María Giménez de Vargas,24,1995-01-20,185,80,Uruguay,Atlético Madrid,Spain Primera Division,85,CB
220440,C. Lenglet,Clément Nicolas Laurent Lenglet,24,1995-06-17,186,81,France,FC Barcelona,Spain Primera Division,85,CB
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,24,1994-09-08,179,69,Portugal,Sporting CP,Portuguese Liga ZON SAGRES,85,"CAM, CM"
199482,A. Lopes,Anthony Lopes,28,1990-10-01,184,81,Portugal,Olympique Lyonnais,French Ligue 1,85,GK
185122,P. Gulácsi,Péter Gulácsi,29,1990-05-06,192,86,Hungary,RB Leipzig,German 1. Bundesliga,85,GK
189117,R. Bürki,Roman Bürki,28,1990-11-14,187,85,Switzerland,Borussia Dortmund,German 1. Bundesliga,85,GK
192505,R. Lukaku,Romelu Lukaku Menama,26,1993-05-13,190,94,Belgium,Inter,Italian Serie A,85,ST
192774,K. Manolas,Konstantinos Manolas,28,1991-06-14,189,83,Greece,Napoli,Italian Serie A,85,CB
194404,Neto,Norberto Murara Neto,29,1989-07-19,190,84,Brazil,FC Barcelona,Spain Primera Division,85,GK
197445,D. Alaba,David Olatukunbo Alaba,27,1992-06-24,180,78,Austria,FC Bayern München,German 1. Bundesliga,85,"LB, CB"
201399,M. Icardi,Mauro Emanuel Icardi Rivero,26,1993-02-19,181,75,Argentina,Inter,Italian Serie A,85,ST
204963,Carvajal,Daniel Carvajal Ramos,27,1992-01-11,173,73,Spain,Real Madrid,Spain Primera Division,85,RB
208670,H. Ziyech,Hakim Ziyech,26,1993-03-19,181,65,Morocco,Ajax,Holland Eredivisie,85,"CAM, RW"
41236,Z. Ibrahimović,Zlatan Ibrahimović,37,1981-10-03,195,95,Sweden,LA Galaxy,USA Major League Soccer,85,ST
143076,A. Gómez,Alejandro Darío Gómez,31,1988-02-15,165,68,Argentina,Atalanta,Italian Serie A,85,"CAM, CF, ST"
167664,G. Higuaín,Gonzalo Gerardo Higuaín,31,1987-12-10,186,89,Argentina,Juventus,Italian Serie A,85,ST
170890,B. Matuidi,Blaise Matuidi,32,1987-04-09,180,75,France,Juventus,Italian Serie A,85,"CDM, CM"
173731,G. Bale,Gareth Frank Bale,29,1989-07-16,185,82,Wales,Real Madrid,Spain Primera Division,85,"RW, LW, ST"
176676,Marcelo,Marcelo Vieira da Silva Júnior,31,1988-05-12,174,75,Brazil,Real Madrid,Spain Primera Division,85,LB
177413,A. Witsel,Axel Witsel,30,1989-01-12,186,81,Belgium,Borussia Dortmund,German 1. Bundesliga,85,"CDM, CM"
191043,Alex Sandro,Alex Sandro Lobo Silva,28,1991-01-26,180,80,Brazil,Juventus,Italian Serie A,85,"LB, LM"
192629,Iago Aspas,Iago Aspas Juncal,31,1987-08-01,176,67,Spain,RC Celta,Spain Primera Division,85,"ST, RW"
193747,Koke,Jorge Resurrección Merodio,27,1992-01-08,176,74,Spain,Atlético Madrid,Spain Primera Division,85,"RM, LM, CM"
198710,J. Rodríguez,James David Rodríguez Rubio,27,1991-07-12,180,75,Colombia,Real Madrid,Spain Primera Division,85,"CAM, CM, RM"
199914,Allan,Allan Marques Loureiro,28,1991-01-08,175,74,Brazil,Napoli,Italian Serie A,85,CM
233049,J. Sancho,Jadon Sancho,19,2000-03-25,180,76,England,Borussia Dortmund,German 1. Bundesliga,84,"RM, LM"
235790,K. Havertz,Kai Havertz,20,1999-06-11,188,83,Germany,Bayer 04 Leverkusen,German 1. Bundesliga,84,"CAM, RM"
231443,O. Dembélé,Ousmane Dembélé,22,1997-05-15,178,67,France,FC Barcelona,Spain Primera Division,84,"RW, LW"
206585,Kepa,Kepa Arrizabalaga Revuelta,24,1994-10-03,186,85,Spain,Chelsea,English Premier League,84,GK
210514,João Cancelo,João Pedro Cavaco Cancelo,25,1994-05-27,182,74,Portugal,Manchester City,English Premier League,84,RB
211117,D. Alli,Bamidele Alli,23,1996-04-11,188,80,England,Tottenham Hotspur,English Premier League,84,"CAM, CM"
220814,L. Hernández,Lucas Hernández Pi,23,1996-02-14,182,76,France,FC Bayern München,German 1. Bundesliga,84,"CB, LB"
230658,Arthur,Arthur Henrique Ramos de Oliveira Melo,22,1996-08-12,171,73,Brazil,FC Barcelona,Spain Primera Division,84,CM
202556,M. Depay,Memphis Depay,25,1994-02-13,176,78,Netherlands,Olympique Lyonnais,French Ligue 1,84,"CF, LW, CAM"
209658,L. Goretzka,Leon Goretzka,24,1995-02-06,189,79,Germany,FC Bayern München,German 1. Bundesliga,84,"CM, CAM, CDM"
212194,J. Brandt,Julian Brandt,23,1996-05-02,185,83,Germany,Borussia Dortmund,German 1. Bundesliga,84,"CAM, LM, RM"
213345,K. Coman,Kingsley Coman,23,1996-06-13,179,75,France,FC Bayern München,German 1. Bundesliga,84,"LM, RM, LW"
206113,S. Gnabry,Serge Gnabry,23,1995-07-14,175,75,Germany,FC Bayern München,German 1. Bundesliga,84,"RM, LM, LW"
216594,N. Fekir,Nabil Fekir,25,1993-07-18,173,75,France,Real Betis,Spain Primera Division,84,CAM
192563,B. Leno,Bernd Leno,27,1992-03-04,190,83,Germany,Arsenal,English Premier League,84,GK
198706,Luis Alberto,Luis Alberto Romero Alconchel,26,1992-09-28,183,74,Spain,Lazio,Italian Serie A,84,"CAM, CM, CF"
212462,Alex Telles,Alex Nicolao Telles,26,1992-12-15,181,71,Brazil,FC Porto,Portuguese Liga ZON SAGRES,84,LB
236583,J. Pavlenka,Jiří Pavlenka,27,1992-04-14,196,81,Czech Republic,SV Werder Bremen,German 1. Bundesliga,84,GK
198176,S. de Vrij,Stefan de Vrij,27,1992-02-05,189,78,Netherlands,Inter,Italian Serie A,84,CB
201995,Felipe Anderson,Felipe Anderson Pereira Gomes,26,1993-04-15,175,70,Brazil,West Ham United,English Premier League,84,LM
120533,Pepe,Kléper Laveran de Lima Ferreira,36,1983-02-26,188,81,Portugal,FC Porto,Portuguese Liga ZON SAGRES,84,CB
162347,João Moutinho,João Filipe Iria Santos Moutinho,32,1986-09-08,170,61,Portugal,Wolverhampton Wanderers,English Premier League,84,CM
167628,S. Ruffier,Stéphane Ruffier,32,1986-09-27,188,93,France,AS Saint-Étienne,French Ligue 1,84,GK
168435,S. Sirigu,Salvatore Sirigu,32,1987-01-12,192,80,Italy,Torino,Italian Serie A,84,GK
171877,M. Hamšík,Marek Hamšík,31,1987-07-27,183,73,Slovakia,Dalian YiFang FC,Chinese Super League,84,CM
172879,Sokratis,Sokratis Papastathopoulos,31,1988-06-09,186,85,Greece,Arsenal,English Premier League,84,CB
176266,Lucas Leiva,Lucas Pezzini Leiva,32,1987-01-09,179,78,Brazil,Lazio,Italian Serie A,84,CDM
176635,M. Özil,Mesut Özil,30,1988-10-15,180,76,Germany,Arsenal,English Premier League,84,"CAM, RW"
177610,Javi Martínez,Javier Martínez Aginaga,30,1988-09-02,192,86,Spain,FC Bayern München,German 1. Bundesliga,84,"CDM, CB"
177683,Y. Sommer,Yann Sommer,30,1988-12-17,183,79,Switzerland,Borussia Mönchengladbach,German 1. Bundesliga,84,GK
180930,E. Džeko,Edin Džeko,33,1986-03-17,193,80,Bosnia Herzegovina,Roma,Italian Serie A,84,ST
181291,G. Wijnaldum,Georginio Wijnaldum,28,1990-11-11,175,69,Netherlands,Liverpool,English Premier League,84,"CM, CDM"
181458,I. Perišić,Ivan Perišić,30,1989-02-02,186,80,Croatia,FC Bayern München,German 1. Bundesliga,84,LM
181783,M. Mandžukić,Mario Mandžukić,33,1986-05-21,190,85,Croatia,Juventus,Italian Serie A,84,"ST, LW"
181872,A. Vidal,Arturo Erasmo Vidal Pardo,32,1987-05-22,180,75,Chile,FC Barcelona,Spain Primera Division,84,"CM, CDM"
183907,J. Boateng,Jérôme Boateng,30,1988-09-03,192,90,Germany,FC Bayern München,German 1. Bundesliga,84,CB
184432,Azpilicueta,César Azpilicueta Tanco,29,1989-08-28,178,76,Spain,Chelsea,English Premier League,84,"RB, CB"
185020,José Callejón,José María Callejón Bueno,32,1987-02-11,178,73,Spain,Napoli,Italian Serie A,84,"RM, RW"
186942,I. Gündoğan,İlkay Gündoğan,28,1990-10-24,180,80,Germany,Manchester City,English Premier League,84,"CM, CDM"
187961,Paulinho,José Paulo Bezzera Maciel Júnior,30,1988-07-25,183,80,Brazil,Guangzhou Evergrande Taobao FC,Chinese Super League,84,"CM, CAM, CDM"
188377,K. Walker,Kyle Walker,29,1990-05-28,183,70,England,Manchester City,English Premier League,84,RB
190286,Canales,Sergio Canales Madrazo,28,1991-02-16,176,65,Spain,Real Betis,Spain Primera Division,84,"CAM, CM, CF"
190483,Douglas Costa,Douglas Costa de Souza,28,1990-09-14,172,70,Brazil,Juventus,Italian Serie A,84,"LM, RW, LW"
197965,Pizzi,Luís Miguel Afonso Fernandes,29,1989-10-06,177,72,Portugal,SL Benfica,Portuguese Liga ZON SAGRES,84,"RM, CM"
199434,D. Tadić,Dušan Tadić,30,1988-11-20,181,76,Serbia,Ajax,Holland Eredivisie,84,"CAM, LW, ST"
200647,J. Iličić,Josip Iličić,31,1988-01-29,190,79,Slovenia,Atalanta,Italian Serie A,84,"CF, ST"
204485,R. Mahrez,Riyad Mahrez,28,1991-02-21,179,67,Algeria,Manchester City,English Premier League,84,"RW, RM"
205678,E. Višća,Edin Višća,29,1990-02-17,172,63,Bosnia Herzegovina,Medipol Başakşehir FK,Turkish Süper Lig,84,"RM, RW"
207863,Felipe,Felipe Augusto de Almeida Monteiro,30,1989-05-16,190,83,Brazil,Atlético Madrid,Spain Primera Division,84,CB
226271,Fabián,Fabián Ruiz Peña,23,1996-04-03,189,70,Spain,Napoli,Italian Serie A,83,"CM, CDM, CAM"
210413,A. Romagnoli,Alessio Romagnoli,24,1995-01-12,188,78,Italy,Milan,Italian Serie A,83,CB
226226,G. Lo Celso,Giovani Lo Celso,23,1996-04-09,177,68,Argentina,Tottenham Hotspur,English Premier League,83,"CM, CAM, CF"
231281,T. Alexander-Arnold,Trent Alexander-Arnold,20,1998-10-07,180,69,England,Liverpool,English Premier League,83,RB
232432,L. Jović,Luka Jović,21,1997-12-23,182,85,Serbia,Real Madrid,Spain Primera Division,83,ST
205175,A. Milik,Arkadiusz Milik,25,1994-02-28,186,78,Poland,Napoli,Italian Serie A,83,ST
211300,A. Martial,Anthony Martial,23,1995-12-05,184,76,France,Manchester United,English Premier League,83,"LW, ST, LM"
212523,Anderson Talisca,Anderson Souza Conceição,25,1994-02-01,190,80,Brazil,Guangzhou Evergrande Taobao FC,Chinese Super League,83,"CAM, RW"
213331,J. Tah,Jonathan Tah,23,1996-02-11,195,97,Germany,Bayer 04 Leverkusen,German 1. Bundesliga,83,CB
219683,C. Tolisso,Corentin Tolisso,24,1994-08-03,181,81,France,FC Bayern München,German 1. Bundesliga,83,"CM, CDM"
221087,Pau López,Pau López Sabata,24,1994-12-13,189,77,Spain,Roma,Italian Serie A,83,GK
224411,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,22,1996-11-29,179,68,Portugal,Valencia CF,Spain Primera Division,83,"LM, ST"
226110,N. Pépé,Nicolas Pépé,24,1995-05-29,183,73,Ivory Coast,Arsenal,English Premier League,83,"RM, RW, ST"
229237,M. Akanji,Manuel Obafemi Akanji,23,1995-07-19,187,91,Switzerland,Borussia Dortmund,German 1. Bundesliga,83,CB
231677,M. Rashford,Marcus Rashford,21,1997-10-31,186,70,England,Manchester United,English Premier League,83,"ST, LM"
203574,J. Stones,John Stones,25,1994-05-28,188,70,England,Manchester City,English Premier League,83,CB
210008,A. Rabiot,Adrien Rabiot,24,1995-04-03,192,80,France,Juventus,Italian Serie A,83,"CM, CDM"
210035,Grimaldo,Alejandro Grimaldo García,23,1995-09-20,171,69,Spain,SL Benfica,Portuguese Liga ZON SAGRES,83,LB
212188,T. Werner,Timo Werner,23,1996-03-06,180,75,Germany,RB Leipzig,German 1. Bundesliga,83,ST
213565,T. Lemar,Thomas Lemar,23,1995-11-12,171,62,France,Atlético Madrid,Spain Primera Division,83,"LM, CAM, RM"
220793,D. Sánchez,Davinson Sánchez Mina,23,1996-06-12,187,79,Colombia,Tottenham Hotspur,English Premier League,83,CB
220834,Marco Asensio,Marco Asensio Willemsen,23,1996-01-21,182,76,Spain,Real Madrid,Spain Primera Division,83,"LW, RW"
200458,L. Digne,Lucas Digne,25,1993-07-20,178,74,France,Everton,English Premier League,83,LB
202166,J. Draxler,Julian Draxler,25,1993-09-20,187,77,Germany,Paris Saint-Germain,French Ligue 1,83,"CAM, CM, LW"
204935,J. Pickford,Jordan Pickford,25,1994-03-07,185,77,England,Everton,English Premier League,83,GK
208418,Y. Carrasco,Yannick Ferreira Carrasco,25,1993-09-04,180,71,Belgium,Dalian YiFang FC,Chinese Super League,83,LM
224179,Borja Iglesias,Borja Iglesias Quintas,26,1993-01-17,187,86,Spain,Real Betis,Spain Primera Division,83,ST
192984,K. Casteels,Koen Casteels,27,1992-06-25,197,86,Belgium,VfL Wolfsburg,German 1. Bundesliga,83,GK
198717,W. Zaha,Wilfried Zaha,26,1992-11-10,180,66,Ivory Coast,Crystal Palace,English Premier League,83,"CF, LM, LW"
200454,Paco Alcácer,Francisco Alcácer García,25,1993-08-30,175,72,Spain,Borussia Dortmund,German 1. Bundesliga,83,ST
201153,Morata,Álvaro Borja Morata Martín,26,1992-10-23,189,84,Spain,Atlético Madrid,Spain Primera Division,83,ST
205693,S. Haller,Sébastien Haller,25,1994-06-22,190,82,France,West Ham United,English Premier League,83,ST
207566,William Carvalho,William Silva de Carvalho,27,1992-04-07,187,83,Portugal,Real Betis,Spain Primera Division,83,"CDM, CM"
212404,F. Bernardeschi,Federico Bernardeschi,25,1994-02-16,185,77,Italy,Juventus,Italian Serie A,83,"RM, CAM"
217940,D. Djené,Djené Dakonam Ortega,27,1991-12-31,178,72,Togo,Getafe CF,Spain Primera Division,83,CB
188152,Oscar,Oscar dos Santos Emboaba Júnior,27,1991-09-09,181,71,Brazil,Shanghai SIPG FC,Chinese Super League,83,"CAM, CM"
188943,K. Trapp,Kevin Trapp,28,1990-07-08,189,86,Germany,Eintracht Frankfurt,German 1. Bundesliga,83,GK
198141,Bartra,Marc Bartra Aregall,28,1991-01-15,184,73,Spain,Real Betis,Spain Primera Division,83,CB
198950,Pablo Sarabia,Pablo Sarabia García,27,1992-05-11,174,70,Spain,Paris Saint-Germain,French Ligue 1,83,"CAM, CM, RM"
199987,J. Cillessen,Jasper Cillessen,30,1989-04-22,185,83,Netherlands,Valencia CF,Spain Primera Division,83,GK
200949,Lucas Moura,Lucas Rodrigues Moura da Silva,26,1992-08-13,174,70,Brazil,Tottenham Hotspur,English Premier League,83,"CF, RM, LM"
204970,F. Thauvin,Florian Thauvin,26,1993-01-26,179,70,France,Olympique de Marseille,French Ligue 1,83,"RW, RM"
205498,Jorginho,Luiz Frello Filho Jorge,27,1991-12-20,180,67,Italy,Chelsea,English Premier League,83,"CM, CDM"
41,Iniesta,Andrés Iniesta Luján,35,1984-05-11,171,68,Spain,Vissel Kobe,Japanese J. League Division 1,83,"CM, LM, CAM"
1179,G. Buffon,Gianluigi Buffon,41,1978-01-28,192,92,Italy,Juventus,Italian Serie A,83,GK
5479,Casillas,Iker Casillas Fernández,38,1981-05-20,185,84,Spain,FC Porto,Portuguese Liga ZON SAGRES,83,GK
104389,R. Jarstein,Rune Almenning Jarstein,34,1984-09-29,190,86,Norway,Hertha BSC,German 1. Bundesliga,83,GK
139720,V. Kompany,Vincent Jean Mpoy Kompany,33,1986-04-10,190,85,Belgium,RSC Anderlecht,Belgian Jupiler Pro League,83,CB
157481,Raúl Albiol,Raúl Albiol Tortajada,33,1985-09-04,190,82,Spain,Villarreal CF,Spain Primera Division,83,CB
159261,F. Quagliarella,Fabio Quagliarella,36,1983-01-31,180,79,Italy,Sampdoria,Italian Serie A,83,ST
163587,K. Schmeichel,Kasper Schmeichel,32,1986-11-05,189,89,Denmark,Leicester City,English Premier League,83,GK
167397,Falcao,Radamel Falcao García Zárate,33,1986-02-10,177,72,Colombia,AS Monaco,French Ligue 1,83,ST
168609,Miranda,João Miranda de Souza Filho,34,1984-09-07,186,78,Brazil,Jiangsu Suning FC,Chinese Super League,83,CB
169416,C. Vela,Carlos Alberto Vela Garrido,30,1989-03-01,177,77,Mexico,Los Angeles FC,USA Major League Soccer,83,"RW, LW, CAM"
170481,E. Garay,Ezequiel Marcelo Garay,32,1986-10-10,189,90,Argentina,Valencia CF,Spain Primera Division,83,CB
178005,Rui Patrício,Rui Pedro dos Santos Patrício,31,1988-02-15,190,84,Portugal,Wolverhampton Wanderers,English Premier League,83,GK
178518,R. Nainggolan,Radja Nainggolan,31,1988-05-04,176,77,Belgium,Cagliari,Italian Serie A,83,"CAM, CM"
178562,E. Banega,Éver Maximiliano David Banega,31,1988-06-29,174,71,Argentina,Sevilla FC,Spain Primera Division,83,"CDM, CM, CAM"
179844,Diego Costa,Diego da Silva Costa,30,1988-10-07,188,86,Spain,Atlético Madrid,Spain Primera Division,83,ST
179846,S. Khedira,Sami Khedira,32,1987-04-04,189,90,Germany,Juventus,Italian Serie A,83,"CM, CDM"
